Range Query No.,Compacted,Skipped
1,2027,225
2,0,303
3,0,634
4,11323,1033
5,0,348
6,8943,965
7,2027,332
8,11544,1429
9,10424,880
10,0,1161
11,0,1168
12,9174,1389
13,14165,2036
14,2687,287
15,5226,736
16,0,878
17,7227,1566
18,19289,1929
19,2027,845
20,0,676
21,0,762
22,20581,3305
23,2027,1685
24,4054,1931
25,6081,1728
26,0,2763
27,0,2106
28,2027,3039
29,0,2844
30,0,1976
31,4054,2016
32,29896,3862
33,0,617
34,4280,1169
35,8108,3384
36,0,4462
37,31608,3941
38,33723,1922
39,33825,5178
40,4054,642
41,37213,1242
42,34374,520
43,0,1588
44,42970,1705
45,2027,454
46,7856,2130
47,0,1780
48,0,2876
49,2027,4145
50,0,2645
51,13339,4439
52,2027,3405
53,0,3753
54,0,4738
55,14189,4440
56,0,4597
57,2027,4641
58,8108,5173
59,0,6245
60,16216,6333
61,50485,6543
62,12162,3694
63,8108,1376
64,24324,7356
65,0,4391
66,57115,5322
67,6081,1254
68,0,629
69,13185,4194
70,0,5710
71,12162,3752
72,3766,4892
73,58450,8173
74,12162,4421
75,0,2303
76,0,3319
77,8108,7548
78,0,3645
79,0,5400
80,64682,9678
81,20270,5754
82,0,6193
83,0,6944
84,2027,7321
85,2027,7728
86,30024,8830
87,6081,4984
88,77867,8095
89,24237,5711
90,10135,1853
91,0,2196
92,18243,5412
93,0,4812
94,0,3666
95,4054,3898
96,20270,4934
97,0,5212
98,2027,5811
99,2027,6515
100,6081,6596
