Range Query No.,Compacted,Skipped
1,6071,160
2,6518,178
3,6711,342
4,7750,313
5,8035,215
6,7988,460
7,8365,105
8,8363,214
9,8927,451
10,9618,752
11,10210,619
12,10502,1321
13,10379,984
14,11475,626
15,11313,172
16,12301,758
17,13303,480
18,13865,1201
19,13801,1406
20,14212,411
21,14483,250
22,14757,481
23,14734,1631
24,14994,185
25,15430,392
26,17253,1078
27,17148,1113
28,17834,2132
29,18054,953
30,18699,1312
31,19132,923
32,19006,998
33,19304,186
34,19750,43
35,20973,1049
36,22418,915
37,22775,1980
38,23997,1622
39,23972,1240
40,24611,335
41,24562,430
42,24862,186
43,26495,2668
44,26858,1847
45,26762,466
46,27986,1135
47,28607,2029
48,28899,1658
49,29300,239
50,29945,1022
51,30849,1000
52,30783,1160
53,31041,1127
54,30989,34
55,31701,581
56,32082,481
57,32314,1033
58,33317,619
59,34450,1872
60,34854,180
61,35074,790
62,35742,1028
63,36042,376
64,36269,2949
65,36618,1397
66,37258,771
67,37562,699
68,37925,395
69,38721,1638
70,39369,551
71,41014,1733
72,41677,795
73,41883,1724
74,42324,1613
75,44643,2533
76,44989,1539
77,46646,2548
78,46622,805
79,46871,2241
80,47823,1136
81,49055,679
82,50620,1707
83,51488,634
84,51731,1045
85,52412,312
86,52802,2630
87,53303,3527
88,53707,869
89,54936,856
90,55449,1473
91,56080,919
92,57253,2220
93,57669,175
94,57983,460
95,58220,326
96,59900,1719
97,60434,441
98,60982,970
99,62001,718
100,62366,1171
