Range Query No.,Compacted,Skipped
1,0,163
2,0,375
3,0,755
4,0,1084
5,0,1342
6,0,1384
7,0,1357
8,0,1606
9,0,2133
10,0,2203
11,0,2566
12,0,2831
13,0,2960
14,0,3039
15,0,3517
16,0,3732
17,0,2750
18,0,3391
19,0,3112
20,0,3238
21,0,3319
22,0,2259
23,0,2781
24,0,2009
25,0,3619
26,0,3015
27,0,3339
28,0,3472
29,0,4101
30,0,4347
31,0,4372
32,0,2213
33,0,3652
34,0,4164
35,0,2948
36,0,4009
37,0,4130
38,0,4379
39,0,3698
40,0,4637
41,0,4196
42,0,5030
43,0,5007
44,0,4694
45,0,4768
46,0,5830
47,0,7929
48,0,4957
49,0,5479
50,0,5469
51,0,7955
52,0,5307
53,0,5685
54,0,5731
55,0,5776
56,0,6118
57,0,6252
58,0,6774
59,0,7276
60,0,7411
61,0,8546
62,0,10753
63,0,9040
64,0,10475
65,0,9614
66,0,9860
67,0,9991
68,0,9246
69,0,10818
70,0,10428
71,0,11074
72,0,11796
73,0,11569
74,0,11555
75,0,10627
76,0,11425
77,0,10466
78,0,10445
79,0,10887
80,0,9584
81,0,10434
82,0,10316
83,0,9750
84,0,9541
85,0,8672
86,0,8854
87,0,12522
88,0,7921
89,0,11382
90,0,8342
91,0,8359
92,0,9494
93,0,9397
94,0,9697
95,0,9945
96,0,10668
97,0,11205
98,0,11696
99,0,12353
100,0,12491
