Range Query No.,Compacted,Skipped
1,6219,16
2,6211,18
3,6215,8
4,6227,14
5,6212,26
6,0,27
7,0,47
8,0,49
9,0,55
10,0,60
11,0,62
12,0,100
13,0,91
14,0,99
15,0,109
16,0,113
17,0,138
18,0,165
19,0,189
20,0,190
21,0,199
22,0,238
23,0,224
24,0,255
25,0,219
26,0,268
27,0,255
28,0,269
29,0,274
30,0,311
31,0,304
32,0,320
33,0,294
34,6829,304
35,0,1
36,6820,108
37,0,5
38,6806,224
39,0,13
40,6790,336
41,0,24
42,6757,116
43,0,76
44,6732,335
45,0,154
46,0,157
47,0,88
48,0,96
49,0,161
50,0,177
51,0,266
52,0,238
53,0,317
54,0,318
55,0,250
56,0,313
57,7442,305
58,0,32
59,7430,358
60,7437,68
61,7397,175
62,0,19
63,0,8
64,0,19
65,0,35
66,0,50
67,7352,76
68,7333,67
69,0,97
70,7325,146
71,0,134
72,7759,132
73,7767,136
74,0,107
75,0,160
76,0,202
77,0,210
78,0,211
79,0,156
80,7609,276
81,0,18
82,8063,151
83,8063,268
84,8017,92
85,7991,290
86,0,9
87,0,48
88,0,54
89,0,105
90,7925,174
91,0,103
92,0,152
93,0,148
94,0,182
95,0,113
96,0,225
97,0,303
98,8649,336
99,8651,298
100,8636,148
101,0,7
102,8628,164
103,0,15
104,0,67
105,8596,198
106,0,37
107,0,49
108,0,38
109,0,76
110,0,69
111,0,94
112,0,108
113,0,110
114,0,101
115,0,110
116,0,226
117,0,216
118,0,234
119,0,212
120,0,250
121,0,250
122,0,272
123,0,277
124,9255,356
125,9246,322
126,9252,239
127,9223,318
128,9211,86
129,0,11
130,0,31
131,0,68
132,0,129
133,0,88
134,0,88
135,0,122
136,0,143
137,0,198
138,0,240
139,0,246
140,9887,330
141,9879,196
142,0,5
143,9879,284
144,0,29
145,0,39
146,0,61
147,0,147
148,0,84
149,0,90
150,0,97
151,0,160
152,0,145
153,9723,223
154,0,40
155,0,80
156,0,212
157,10135,495
158,0,182
159,0,292
160,0,294
161,0,310
162,0,261
163,10496,212
164,10500,191
165,0,7
166,0,17
167,10453,95
168,10457,79
169,10457,236
170,10412,307
171,0,68
172,0,48
173,0,49
174,0,130
175,0,176
176,0,126
