Range Query No.,Compacted,Skipped
1,0,140
2,0,140
3,0,321
4,0,254
5,0,407
6,0,360
7,8078,838
8,0,173
9,0,405
10,0,905
11,0,302
12,10375,1121
13,0,1144
14,0,367
15,0,715
16,11919,579
17,12843,1397
18,0,1265
19,0,729
20,0,601
21,0,820
22,14145,1546
23,13753,2092
24,0,1119
25,0,1262
26,0,943
27,0,1909
28,17558,1744
29,0,164
30,0,46
31,0,40
32,13377,1325
33,0,1175
34,0,476
35,0,1671
36,0,1882
37,0,1409
38,0,1791
39,0,2595
40,0,442
41,0,1535
42,0,423
43,15984,1086
44,0,1567
45,0,546
46,0,294
47,0,233
48,0,1225
49,0,1648
50,0,1412
51,0,801
52,0,1092
53,0,1297
54,0,2630
55,0,1650
56,0,1937
57,0,1021
58,0,766
59,0,1148
60,0,1437
61,0,1688
62,0,2239
63,0,529
64,0,1306
65,0,1853
66,0,851
67,0,2384
68,0,1181
69,0,1309
70,0,864
71,0,1940
72,0,1474
73,0,1440
74,0,1647
75,0,1457
76,0,2186
77,0,1668
78,0,1807
79,0,1298
80,0,1577
81,0,1585
82,0,2464
83,0,1356
84,0,1515
85,0,1149
86,0,1351
87,0,1489
88,0,1150
89,0,1439
90,0,1555
91,0,1665
92,0,1796
93,0,1426
94,0,1640
95,0,1995
96,0,1597
97,0,2078
98,0,1984
99,0,1598
100,0,2048
