Range Query No.,Compacted,Skipped
1,0,157
2,0,211
3,0,480
4,4323,1564
5,0,1332
6,0,1814
7,0,4203
8,9012,4034
9,8108,5389
10,9786,3796
11,2027,591
12,4296,2519
13,0,1829
14,11676,3080
15,3228,1469
16,0,1838
17,11434,5387
18,0,1124
19,0,3489
20,10135,2945
21,4054,2044
22,14658,1491
23,0,492
24,0,2035
25,0,3282
26,4054,2696
27,0,3685
28,15518,3978
29,20239,6779
30,0,2095
31,4054,2249
32,0,5338
33,20908,2974
34,18685,5057
35,6081,3693
36,19561,3228
37,3745,2561
38,6081,3412
39,4054,2739
40,0,5479
41,24833,6681
42,0,5919
43,0,6216
44,0,4848
45,2027,6795
46,0,7253
47,21353,7049
48,2027,7580
49,0,7739
50,0,9196
51,29143,7910
52,27292,10485
53,30077,6473
54,0,4339
55,0,988
56,10404,3187
57,0,2640
58,14189,10046
59,33170,9253
60,31251,5343
61,6081,2708
62,0,3301
63,8108,3327
64,36262,6490
65,2027,2816
66,33816,13458
67,0,6565
68,36982,8326
69,6081,3208
70,0,5355
71,38513,10254
72,12162,6918
73,2027,6928
74,42067,9356
75,6081,3189
76,4054,4935
77,20270,10470
78,0,8089
79,0,6283
80,4150,5405
81,0,4595
82,16216,10456
83,4054,7140
84,47688,11294
85,2027,3783
86,10135,4698
87,0,12822
88,8108,12825
89,19222,11699
90,16216,9725
91,2027,12069
92,2027,8629
93,10358,11396
94,2027,11430
95,0,8931
96,0,13419
97,4054,9390
98,49436,14252
99,20270,11169
100,54907,8578
