Range Query No.,Compacted,Skipped
1,6100,149
2,6504,184
3,6717,356
4,7753,655
5,8005,624
6,7950,683
7,8384,123
8,8363,948
9,8914,602
10,9616,658
11,10202,579
12,10502,433
13,10405,644
14,10375,59
15,11478,374
16,11324,293
17,12266,922
18,13297,816
19,13875,658
20,13787,349
21,14213,67
22,14770,2656
23,14715,748
24,14994,402
25,15425,621
26,17254,2594
27,17136,1261
28,17819,331
29,18044,1383
30,18678,2006
31,19128,312
32,18986,767
33,19317,357
34,19746,319
35,20966,1001
36,22420,908
37,22772,2842
38,23981,1454
39,23971,1538
40,24567,328
41,24538,1757
42,24856,1454
43,26481,880
44,26838,1211
45,26725,452
46,27988,1223
47,28565,2084
48,28900,587
49,29305,2298
50,29932,1310
51,30832,1033
52,30773,680
53,31013,957
54,31468,552
55,31677,698
56,32057,189
57,32303,599
58,33325,424
59,34434,1471
60,34850,356
61,35028,1069
62,35758,1126
63,36008,489
64,36295,3025
65,36559,630
66,37256,1106
67,37543,238
68,37922,271
69,39194,1700
70,39331,705
71,41019,1288
72,41664,505
73,41865,2217
74,42315,2114
75,44626,1702
76,44973,1686
77,46635,2298
78,46622,901
79,46850,1627
80,47833,2288
81,49078,1471
82,50613,1596
83,51497,747
84,51705,820
85,52417,251
86,52787,2127
87,53284,3656
88,53710,705
89,54932,1074
90,55449,1282
91,56073,877
92,57251,1961
93,57665,102
94,57993,438
95,58239,305
96,59897,1513
97,60445,404
98,61009,908
99,61959,611
100,61895,132
