Range Query No.,Compacted,Skipped
1,6438,165
2,6699,498
3,7745,670
4,8021,544
5,7985,559
6,8370,200
7,8373,233
8,8926,429
9,9613,1272
10,10169,831
11,10491,910
12,10379,1112
13,10395,365
14,11475,304
15,11318,721
16,12286,837
17,13289,996
18,13873,545
19,13763,584
20,14213,1134
21,14470,1678
22,14776,381
23,14711,524
24,15016,373
25,15393,158
26,17266,1521
27,17124,1114
28,17850,580
29,18070,637
30,18668,558
31,19124,577
32,19031,1433
33,19293,389
34,19750,122
35,20956,752
36,22437,890
37,22771,120
38,23937,2394
39,23943,675
40,24607,985
41,24586,213
42,24872,218
43,26470,769
44,26856,405
45,26753,127
46,28006,3002
47,28587,1227
48,28884,2053
49,29305,611
50,29942,436
51,30829,1201
52,30790,778
53,30797,220
54,31021,5186
55,31011,856
56,31661,501
57,32069,289
58,32332,853
59,30477,881
60,34452,796
61,34838,1720
62,35034,375
63,35751,1797
64,36005,545
65,36306,1331
66,36592,458
67,37220,515
68,37591,464
69,37904,529
70,38713,1136
71,39375,3497
72,41043,1379
73,41677,1682
74,41836,523
75,42321,237
76,44686,2855
77,46640,2253
78,46606,3219
79,485,255
80,47809,1351
81,49054,1042
82,50634,923
83,51423,787
84,51743,3931
85,52446,5123
86,52799,1672
87,53287,704
88,53709,307
89,54937,1038
90,55443,803
91,56108,2387
92,57282,723
93,57686,66
94,57542,147
95,58250,236
96,59885,749
97,60447,2627
98,61031,1160
99,61713,322
100,61508,208
