Range Query No.,Compacted,Skipped
1,4904,82
2,5166,159
3,0,208
4,6183,319
5,6405,652
6,0,65
7,6686,373
8,6696,423
9,7120,1007
10,0,202
11,8155,796
12,8390,606
13,8287,215
14,8319,864
15,9188,1269
16,9045,426
17,9838,1021
18,10655,1024
19,11118,608
20,11039,1423
21,11354,1084
22,11803,1155
23,11778,432
24,12014,638
25,12350,315
26,13789,885
27,0,98
28,14268,619
29,14427,608
30,14937,2106
31,15296,1445
32,15197,743
33,0,619
34,0,513
35,16776,1065
36,17956,1733
37,18245,2721
38,0,635
39,19186,1997
40,19672,262
41,19637,2315
42,0,1041
43,21207,967
44,21495,1628
45,21399,2272
46,22436,973
47,22876,633
48,0,475
49,23451,1727
50,23953,1180
51,24677,946
52,24618,1207
53,0,190
54,24785,232
55,25350,418
56,25650,806
57,25827,1328
58,26656,601
59,27549,2129
60,27872,716
61,28030,2621
62,28594,1754
63,28818,275
64,29010,1965
65,29224,447
66,29786,719
67,0,361
68,30350,1007
69,30989,910
70,31501,1473
71,32821,1420
72,33335,959
73,33489,2784
74,33861,1752
75,35732,1673
76,35983,1571
77,37318,1037
78,37302,2110
79,37503,1278
80,38274,2681
81,39240,1509
82,40502,1402
83,41197,886
84,41387,2588
85,41934,402
86,42246,540
87,42627,1552
88,42966,458
89,43962,1926
90,44352,916
91,44857,852
92,45802,715
93,46135,962
94,46399,124
95,46591,204
96,47914,1152
97,48378,312
98,48813,889
99,49577,496
100,49910,5669
