Range Query No.,Compacted,Skipped
1,0,5
2,0,32
3,0,32
4,0,56
5,0,72
6,0,121
7,0,131
8,0,135
9,0,141
10,0,149
11,0,126
12,0,161
13,0,150
14,0,169
15,0,160
16,0,181
17,0,230
18,0,276
19,0,251
20,0,305
21,0,300
22,0,292
23,0,316
24,0,355
25,0,378
26,0,214
27,0,410
28,0,422
29,0,433
30,0,298
31,0,406
32,0,407
33,0,431
34,0,236
35,0,461
36,0,455
37,0,514
38,0,459
39,0,376
40,0,479
41,0,485
42,0,563
43,0,556
44,0,486
45,0,589
46,0,403
47,0,508
48,0,501
49,0,548
50,0,523
51,0,596
52,0,596
53,0,534
54,0,592
55,0,563
56,0,652
57,0,636
58,0,636
59,0,757
60,0,767
61,0,702
62,0,787
63,0,780
64,0,707
65,0,805
66,0,825
67,0,661
68,0,718
69,0,844
70,0,890
71,0,770
72,0,742
73,0,949
74,0,724
75,0,967
76,0,791
77,0,895
78,0,815
79,0,970
80,0,964
81,0,1134
82,0,900
83,0,919
84,0,1053
85,0,931
86,0,1052
87,0,977
88,0,1002
89,0,950
90,0,1140
91,0,832
92,0,1053
93,0,1203
94,0,1068
95,0,1072
96,0,1168
97,0,1220
98,0,996
99,0,1099
100,0,1006
101,0,1162
102,0,1166
103,0,1316
104,0,1181
105,0,1188
106,0,1147
107,0,1293
108,0,1216
109,0,1198
110,0,1311
111,0,1210
112,0,1294
113,0,1250
114,0,1281
115,0,1101
116,0,1243
117,0,1178
118,0,1253
119,0,1487
120,0,1192
121,0,1322
122,0,1331
123,0,1338
124,0,1338
125,0,1350
126,0,1535
127,0,1249
128,0,1369
129,0,1293
130,0,1383
131,0,1396
132,0,1517
133,0,1277
134,0,1405
135,0,1471
136,0,1466
137,0,1327
138,0,1396
139,0,1544
140,0,1357
141,0,1425
142,0,1320
143,0,1388
144,0,1561
145,0,1709
146,0,1529
147,0,1435
148,0,1513
149,0,1427
150,0,1500
151,0,1513
152,0,1593
153,0,1584
154,0,1287
155,0,1627
156,0,1707
157,0,1864
158,0,1674
159,0,1730
160,0,1875
161,0,1759
162,0,1620
163,0,1900
164,0,1913
165,0,1327
166,0,1627
167,0,1601
168,0,1953
169,0,1328
170,0,982
171,0,1846
172,0,1935
173,0,1865
174,0,1934
175,0,1989
176,0,1833
177,0,1957
178,0,1407
179,0,1795
180,0,1603
181,0,1995
182,0,2021
183,0,2034
184,0,2111
185,0,1381
186,0,2164
187,0,1235
188,0,2208
189,0,1192
190,0,2116
191,0,1767
192,0,2122
193,0,2126
194,0,1425
195,0,1486
196,0,2137
197,0,2141
198,0,1993
199,0,2250
200,0,2233
201,0,1400
202,0,2263
203,0,1965
204,0,1477
205,0,1661
206,0,2313
207,0,1863
208,0,2114
209,0,2135
210,0,2143
211,0,1669
212,0,1665
213,0,2431
214,0,1577
215,0,2258
216,0,2474
217,0,2269
218,0,1520
219,0,2288
220,0,2295
221,0,2141
222,0,1532
223,0,2027
224,0,2627
225,0,1929
226,0,1775
227,0,1178
228,0,1758
229,0,2433
230,0,2611
231,0,2449
232,0,1618
233,0,1781
234,0,2579
235,0,1633
236,0,2470
237,0,2471
238,0,1681
239,0,2633
240,0,2547
241,0,2355
242,0,1726
243,0,1978
244,0,1761
245,0,1342
246,0,2122
247,0,1370
248,0,2191
249,0,1881
250,0,2155
251,0,1694
252,0,2243
253,0,1821
254,0,1512
255,0,1828
256,0,1788
257,0,1759
258,0,1870
259,0,1934
260,0,2331
261,0,2360
262,0,2238
263,0,2253
264,0,1824
265,0,2321
266,0,1658
267,0,1757
268,0,2189
269,0,2356
270,0,2168
271,0,2366
272,0,2471
273,0,2405
274,0,1941
275,0,2416
276,0,1807
277,0,1997
278,0,2174
279,0,2531
280,0,2587
281,0,2030
282,0,1681
283,0,2165
284,0,2193
285,0,1963
286,0,1959
287,0,2271
288,0,1152
289,0,1482
290,0,1106
291,0,1182
292,0,2361
293,0,2168
294,0,1252
295,0,2629
296,0,1271
297,0,2463
298,0,1411
299,0,1382
300,0,2136
301,0,2253
302,0,2480
303,0,1345
304,0,2365
305,0,1182
306,0,970
307,0,1927
308,0,2214
309,0,2489
310,0,1472
311,0,1300
312,0,2821
313,0,2904
314,0,1505
315,0,2122
316,0,1906
317,0,1518
318,0,1304
319,0,2092
320,0,1574
321,0,2399
322,0,2153
323,0,1638
324,0,2386
325,0,2118
326,0,2262
327,0,2782
328,0,2553
329,0,2377
330,0,1675
331,0,1653
332,0,1101
333,0,1704
334,0,2288
335,0,2376
336,0,2923
337,0,1696
338,0,2254
339,0,1587
340,0,1568
341,0,1829
342,0,1446
343,0,2192
