Range Query No.,Compacted,Skipped
1,2193,42
2,0,70
3,2347,189
4,0,216
5,0,134
6,3191,360
7,0,192
8,3335,391
9,3192,519
10,3581,449
11,1280,347
12,1751,608
13,0,293
14,0,473
15,4114,619
16,4282,578
17,0,571
18,1376,365
19,5167,1184
20,0,559
21,0,559
22,4927,945
23,0,507
24,0,643
25,5867,723
26,6081,872
27,0,547
28,0,533
29,0,595
30,2027,1149
31,7050,967
32,2027,962
33,0,493
34,0,756
35,8398,1410
36,0,967
37,5948,1731
38,0,1654
39,0,927
40,0,1798
41,4054,1477
42,0,1207
43,0,2184
44,0,1279
45,9547,1493
46,10293,1979
47,0,1548
48,0,445
49,0,1212
50,0,1012
51,10103,1713
52,11676,1763
53,11319,1671
54,9887,1550
55,12428,1804
56,0,255
57,0,1457
58,0,1917
59,2027,782
60,4054,1119
61,0,1366
62,10135,1355
63,12770,1848
64,0,2924
65,0,1176
66,12913,1340
67,13455,1452
68,2027,520
69,5151,1337
70,6025,1743
71,0,1424
72,0,1136
73,13970,2560
74,0,892
75,15018,2280
76,14769,2647
77,6081,1718
78,0,1067
79,6081,1942
80,0,1653
81,17439,1683
82,0,1833
83,17785,2716
84,4054,789
85,0,1252
86,21126,2563
87,18243,2746
88,4740,924
89,4054,1094
90,4054,1426
91,4054,1099
92,4054,1430
93,0,1388
94,23024,2176
95,0,410
96,7498,2080
97,21897,2304
98,0,1421
99,4737,1346
100,0,1126
