Range Query No.,Compacted,Skipped
1,0,734
2,0,1934
3,0,1963
4,0,1659
5,0,1659
6,0,2628
7,0,3924
8,0,4173
9,0,5451
10,0,5294
11,0,4375
12,0,4999
13,0,5300
14,0,5465
15,0,4041
16,0,5218
17,0,3696
18,0,4923
19,0,4507
20,0,4068
21,0,3421
22,0,4225
23,0,4249
24,0,5170
25,0,4496
26,0,4299
27,0,6615
28,0,6711
29,0,5377
30,0,10402
31,0,7080
32,0,12276
33,0,7620
34,0,10347
35,0,14267
36,0,13803
37,0,13359
38,0,12360
39,0,14984
40,0,15487
41,0,14268
42,0,16602
43,0,13689
44,0,13974
45,0,10652
46,0,11605
47,0,10713
48,0,13559
49,0,10359
50,0,13675
51,0,11783
52,0,12623
53,0,14452
54,0,11488
55,0,8715
56,0,10599
57,0,9135
58,0,10428
59,0,13370
60,0,11226
61,0,12610
62,0,11033
63,0,13423
64,0,12579
65,0,10264
66,0,10612
67,0,17404
68,0,14521
69,0,12786
70,0,12351
71,0,12818
72,0,9755
73,0,10616
74,0,11494
75,0,14032
76,0,13977
77,0,12271
78,0,11360
79,0,15931
80,0,15100
81,0,13445
82,0,14380
83,0,14507
84,0,13711
85,0,14923
86,0,15145
87,0,15339
88,0,17687
89,0,13433
90,0,15459
91,0,19591
92,0,17995
93,0,18296
94,0,18256
95,0,16512
96,0,22600
97,0,16728
98,0,16316
99,0,20347
100,0,16071
