Range Query No.,Compacted,Skipped
1,0,48
2,0,333
3,0,1209
4,6870,1152
5,2625,1070
6,0,1213
7,8620,2097
8,0,1928
9,2027,2325
10,11186,2689
11,12355,3159
12,9915,3049
13,2027,1205
14,13782,3572
15,13477,1982
16,6081,3284
17,3715,1423
18,0,2397
19,0,2366
20,0,2196
21,0,1934
22,4054,3328
23,0,2592
24,0,2819
25,0,3321
26,0,3334
27,0,3303
28,0,2972
29,4054,4648
30,6081,2910
31,0,2094
32,0,4521
33,4054,851
34,17624,3449
35,0,1602
36,14156,3309
37,2027,3591
38,0,2343
39,2027,3559
40,0,3378
41,0,4808
42,0,4713
43,2027,4498
44,10135,5100
45,27481,4617
46,0,391
47,0,2404
48,2027,1817
49,0,2713
50,0,1989
51,0,5494
52,0,3413
53,0,3453
54,5901,8196
55,26494,9278
56,2027,4522
57,31393,5855
58,18938,5411
59,0,967
60,0,1200
61,10135,3160
62,0,2637
63,6166,5775
64,33536,3604
65,0,1495
66,2027,4859
67,0,5848
68,10135,9435
69,5282,7077
70,14983,7416
71,38677,7228
72,0,607
73,4054,7567
74,33264,6276
75,14189,6968
76,38677,7716
77,41527,7261
78,4054,1189
79,2027,505
80,6081,2826
81,6081,3893
82,10135,4602
83,16216,4891
84,4054,5945
85,16098,7289
86,14189,7378
87,0,6515
88,46057,9511
89,16604,7213
90,0,6150
91,4054,6488
92,12520,3116
93,0,3743
94,22297,9090
95,53686,7930
96,4054,5855
97,6555,7299
98,0,6048
99,20389,7180
100,16216,7600
