Range Query No.,Compacted,Skipped
1,0,74
2,0,193
3,0,354
4,0,565
5,6145,754
6,0,73
7,0,430
8,6615,318
9,2027,976
10,6926,1050
11,8139,967
12,0,632
13,0,798
14,0,913
15,3610,948
16,0,919
17,9666,1051
18,10356,1785
19,0,601
20,9426,2040
21,11367,1824
22,11816,1235
23,2944,1045
24,2027,949
25,1064,309
26,12162,1529
27,0,139
28,0,878
29,1845,1669
30,0,1594
31,2027,1654
32,0,1491
33,0,1403
34,4054,1520
35,0,1548
36,14905,2715
37,17669,1321
38,0,554
39,17097,2222
40,0,277
41,0,2267
42,4054,985
43,2027,1927
44,0,1479
45,6081,2697
46,0,2437
47,0,2321
48,20553,2296
49,0,1950
50,4054,726
51,23329,2595
52,2027,2603
53,0,2426
54,0,2503
55,0,2791
56,21866,3408
57,0,1842
58,2027,1844
59,22297,3537
60,0,2094
61,24111,3180
62,2027,2256
63,0,879
64,0,2149
65,0,2500
66,26442,1171
67,2027,2658
68,11053,3546
69,4054,950
70,20084,2304
71,4054,1284
72,6081,1652
73,4325,2958
74,28263,4714
75,2609,2804
76,0,2584
77,0,2426
78,32846,4172
79,14189,3335
80,4054,3682
81,1928,3950
82,34459,4176
83,0,4024
84,8954,2459
85,4054,4433
86,8729,2011
87,2027,2888
88,39193,4693
89,16216,5593
90,4054,915
91,0,1658
92,8108,2353
93,0,2676
94,0,2421
95,0,2508
96,8108,2539
97,0,2647
98,0,3779
99,0,3704
100,4054,4398
