Range Query No.,Compacted,Skipped
1,0,11
2,0,18
3,0,19
4,0,12
5,0,24
6,0,45
7,0,67
8,0,73
9,0,75
10,0,77
11,0,79
12,0,102
13,0,124
14,0,115
15,0,131
16,0,129
17,0,160
18,0,157
19,0,206
20,0,217
21,0,211
22,0,225
23,0,245
24,0,252
25,0,227
26,5785,255
27,0,254
28,0,282
29,5528,110
30,0,272
31,0,78
32,0,320
33,0,326
34,2027,336
35,0,97
36,0,318
37,0,345
38,6817,273
39,0,343
40,0,15
41,0,103
42,0,353
43,0,64
44,0,410
45,0,128
46,0,140
47,0,221
48,0,146
49,0,175
50,0,432
51,2027,565
52,0,282
53,0,559
54,0,294
55,0,507
56,0,381
57,6137,534
58,6951,143
59,0,419
60,0,324
61,0,357
62,0,89
63,0,314
64,0,189
65,0,59
66,0,389
67,0,482
68,0,414
69,6521,212
70,7005,242
71,0,477
72,0,462
73,0,463
74,0,63
75,0,551
76,2843,599
77,0,172
78,0,204
79,0,611
80,0,251
81,0,611
82,0,384
83,1716,587
84,7405,588
85,0,190
86,0,264
87,0,420
88,7794,474
89,0,298
90,0,192
91,850,117
92,0,367
93,0,185
94,0,378
95,0,346
96,0,517
97,0,749
98,0,287
99,2652,323
100,0,410
101,0,360
102,0,275
103,0,382
104,0,630
105,0,416
106,0,456
107,0,663
108,0,450
109,0,574
110,0,634
111,0,687
112,0,698
113,0,642
114,1167,400
115,0,679
116,0,735
117,0,778
118,8059,495
119,0,702
120,4737,559
121,0,35
122,0,59
123,2027,789
124,0,742
125,0,762
126,0,444
127,0,713
128,2027,645
129,0,736
130,0,144
131,0,829
132,0,803
133,0,726
134,0,216
135,0,238
136,0,887
137,0,943
138,2027,826
139,0,862
140,0,404
141,0,504
142,3034,411
143,0,319
144,2027,985
145,9122,961
146,0,595
147,0,550
148,0,464
149,0,794
150,2027,666
151,0,458
152,0,318
153,0,505
154,9381,547
155,2027,798
156,0,162
157,0,202
158,0,221
159,0,666
160,0,230
161,0,492
162,1414,164
163,9555,217
164,0,11
165,0,17
166,0,25
167,0,59
168,2253,547
169,0,412
170,0,108
171,0,134
172,0,350
173,0,954
174,0,228
175,2027,1001
176,0,580
177,1463,1105
178,0,247
179,0,260
180,0,759
181,0,628
182,0,310
183,0,362
184,0,356
185,10586,1037
186,0,117
187,0,606
188,0,173
189,0,999
190,0,512
191,4054,1317
192,0,427
193,10590,1189
194,0,376
195,0,439
196,0,346
197,0,209
198,0,299
199,0,192
200,0,210
201,0,495
202,0,358
203,0,555
204,0,591
205,0,286
206,0,516
207,0,670
208,2027,612
209,0,583
210,0,412
211,0,686
212,2027,753
213,2027,808
214,0,481
215,0,791
216,0,512
217,0,775
218,0,712
219,0,798
220,0,800
221,0,873
222,0,555
223,0,837
224,0,843
225,0,876
226,0,779
227,0,570
228,0,834
229,0,917
230,0,773
231,0,1061
232,0,766
233,0,843
234,0,1039
235,0,1085
236,2027,945
237,0,1107
238,0,932
239,0,1143
240,0,870
241,0,1036
242,3854,1231
243,0,1236
244,2027,1149
245,0,1035
246,0,1025
247,0,1233
248,0,1048
249,0,1205
250,0,1047
251,0,1275
252,0,1267
253,0,1212
254,2027,1228
255,0,1083
256,0,1263
257,0,1125
258,0,1362
259,0,1403
260,0,1120
261,0,1407
262,12909,1365
263,0,998
264,2027,1313
265,0,1460
266,0,569
267,0,259
268,4054,1457
269,13022,1332
270,0,444
271,0,449
272,0,449
273,0,563
274,0,421
275,0,351
276,0,179
277,0,225
278,0,273
279,0,260
280,0,409
281,0,523
282,0,537
283,0,279
284,0,731
285,0,731
286,0,616
287,2027,698
288,0,477
289,0,699
290,0,529
291,0,788
292,0,720
293,0,888
294,0,541
295,0,807
296,1906,603
297,0,961
298,0,561
299,2027,1019
300,0,971
301,0,977
302,2451,609
303,0,1199
304,0,564
305,0,1178
306,0,916
307,0,1360
308,0,1085
309,4054,1437
310,0,998
311,0,1026
312,0,852
313,0,1580
314,3763,979
315,0,685
316,0,811
317,0,1119
318,0,846
319,0,1003
320,0,933
321,0,1190
322,0,1212
323,1616,1236
324,0,1278
325,4454,1264
326,0,1043
327,0,1159
328,0,1160
329,0,1164
330,0,1132
331,0,1154
332,0,1190
333,0,992
334,0,1436
335,0,1437
336,0,1245
337,0,1160
338,0,1207
339,0,1842
340,0,1183
341,0,1296
342,0,1381
343,0,1346
344,0,1409
345,2027,1319
346,0,1444
347,13757,2042
348,951,1448
349,0,1445
350,0,1265
351,0,1646
352,0,1542
353,0,141
354,0,1554
355,0,1430
356,4726,1507
357,0,1430
358,15376,1473
359,3556,842
360,0,579
361,0,729
362,0,173
363,0,1364
364,0,1415
365,0,907
366,0,528
367,0,675
368,2027,952
369,0,1218
370,0,903
371,0,1192
372,0,648
373,0,1270
374,2027,577
375,0,1130
376,0,1542
377,0,1517
378,0,725
379,0,416
380,0,1471
381,1967,1624
382,0,1553
383,5869,1641
384,16575,1458
385,0,10
386,0,1206
387,0,834
388,0,1541
389,0,22
390,0,284
391,0,589
392,0,87
393,0,715
394,0,933
395,0,832
396,0,180
397,0,442
398,0,719
399,0,1695
400,0,1902
401,0,394
402,0,278
403,0,290
404,0,1321
