Range Query No.,Compacted,Skipped
1,0,53
2,0,73
3,0,181
4,0,314
5,0,308
6,0,338
7,0,288
8,0,425
9,0,488
10,0,537
11,0,679
12,0,656
13,0,472
14,0,804
15,0,863
16,0,1036
17,0,738
18,0,567
19,0,1069
20,0,1079
21,0,282
22,0,189
23,0,257
24,0,868
25,0,279
26,0,752
27,0,751
28,0,930
29,0,934
30,0,1150
31,0,1043
32,0,633
33,0,766
34,0,796
35,0,1056
36,0,1420
37,0,896
38,0,1069
39,0,1106
40,0,1575
41,0,1189
42,0,1801
43,0,960
44,0,1431
45,0,1480
46,0,1930
47,0,941
48,0,1054
49,0,1591
50,0,2043
51,0,1958
52,0,2104
53,0,1710
54,0,1749
55,0,2529
56,0,2604
57,0,1545
58,0,1763
59,0,2729
60,0,2784
61,0,2743
62,0,2495
63,0,2573
64,0,1221
65,0,2433
66,0,2494
67,0,1717
68,0,2109
69,0,1870
70,0,1956
71,0,1342
72,0,2977
73,0,2163
74,0,2109
75,0,3771
76,0,2809
77,0,3917
78,0,1931
79,0,1562
80,0,2701
81,0,1729
82,0,1857
83,0,1529
84,0,2438
85,0,1690
86,0,2601
87,0,2851
88,0,2405
89,0,2934
90,0,3048
91,0,1830
92,0,3049
93,0,2676
94,0,3192
95,0,2595
96,0,2373
97,0,3255
98,0,2753
99,0,2958
100,0,2241
