Range Query No.,Compacted,Skipped
1,0,148
2,0,198
3,0,460
4,0,721
5,0,748
6,0,924
7,0,840
8,0,846
9,0,1216
10,0,1050
11,0,1541
12,0,1488
13,0,1692
14,0,1814
15,0,1646
16,0,1695
17,0,1125
18,0,1808
19,0,2321
20,0,2341
21,0,1644
22,0,2679
23,0,1647
24,0,1799
25,0,966
26,0,1813
27,0,2598
28,0,2230
29,0,1422
30,0,2638
31,0,2301
32,0,2256
33,0,2426
34,0,2446
35,0,2303
36,0,1728
37,0,2890
38,0,4080
39,0,2545
40,0,2709
41,0,4097
42,0,2507
43,0,3122
44,0,4830
45,0,3533
46,0,4445
47,0,3964
48,0,4234
49,0,4871
50,0,3333
51,0,5335
52,0,5388
53,0,4104
54,0,4909
55,0,4342
56,0,4378
57,0,5279
58,0,4910
59,0,5590
60,0,5589
61,0,6102
62,0,6681
63,0,6646
64,0,6231
65,0,6419
66,0,6682
67,0,3449
68,0,3859
69,0,6679
70,0,6530
71,0,7346
72,0,5923
73,0,6624
74,0,6646
75,0,7879
76,0,7252
77,0,7841
78,0,5946
79,0,5569
80,0,7473
81,0,6206
82,0,5621
83,0,5982
84,0,6580
85,0,5392
86,0,6619
87,0,7150
88,0,6435
89,0,5425
90,0,5909
91,0,6530
92,0,6446
93,0,7186
94,0,7012
95,0,6817
96,0,6816
97,0,7626
98,0,7179
99,0,6737
100,0,7463
