Range Query No.,Compacted,Skipped
1,6156,91
2,6450,218
3,6714,228
4,7748,778
5,8024,764
6,7975,79
7,8369,335
8,8348,315
9,8881,1039
10,9602,246
11,10193,955
12,10506,627
13,10412,239
14,10364,990
15,11466,1149
16,11350,521
17,12303,919
18,13288,825
19,13868,553
20,13784,1798
21,14204,1353
22,14770,1277
23,14751,571
24,15017,472
25,15404,361
26,17240,1129
27,17115,131
28,17845,605
29,18025,330
30,18678,2443
31,19122,1990
32,18967,418
33,19317,570
34,19745,121
35,20952,764
36,22396,2177
37,22749,2090
38,23955,719
39,23960,1912
40,24572,337
41,24577,2360
42,24896,752
43,26468,1094
44,26850,849
45,26763,1661
46,27975,892
47,28565,693
48,28887,491
49,29312,1909
50,29939,684
51,30838,1041
52,30786,889
53,31045,234
54,31011,35
55,31683,268
56,32074,777
57,32294,1525
58,33312,681
59,34451,2316
60,34828,852
61,35011,2694
62,35735,1404
63,36010,293
64,36258,2180
65,36558,254
66,37257,897
67,37591,437
68,37917,640
69,38763,963
70,39370,1543
71,41040,840
72,41682,887
73,41897,3109
74,42319,1935
75,44627,1912
76,45014,1585
77,46635,1159
78,46607,2492
79,46878,967
80,47835,2760
81,49059,1479
82,50620,1284
83,51489,874
84,51712,3292
85,52404,515
86,52794,306
87,53290,1121
88,53714,547
89,54934,1761
90,55425,1135
91,56107,553
92,57244,892
93,57659,1034
94,57978,147
95,58230,244
96,59889,1002
97,60407,442
98,60997,762
99,61974,529
100,62380,5857
