Range Query No.,Compacted,Skipped
1,4214,86
2,0,243
3,0,434
4,0,649
5,4557,811
6,7751,753
7,6081,511
8,0,842
9,2027,773
10,0,943
11,0,925
12,0,570
13,0,1223
14,0,693
15,0,973
16,0,1090
17,0,1267
18,8532,1270
19,0,1114
20,0,1183
21,0,1208
22,9611,1052
23,0,1652
24,4054,1805
25,12349,2005
26,14550,2507
27,9965,1072
28,0,524
29,2027,641
30,0,906
31,0,944
32,0,2054
33,15265,1697
34,0,329
35,0,1811
36,0,1649
37,0,2039
38,8108,2660
39,0,1327
40,21020,2113
41,5698,1277
42,2392,1886
43,24051,2578
44,9083,2664
45,0,1036
46,4117,1010
47,26120,3686
48,28647,3562
49,0,1630
50,0,376
51,0,1707
52,0,931
53,0,1150
54,6081,2179
55,0,1982
56,22297,2368
57,4054,1344
58,0,1726
59,6081,2411
60,0,2002
61,25953,2739
62,12162,3888
63,6081,614
64,34021,3730
65,0,466
66,2027,1408
67,0,948
68,0,2349
69,0,1936
70,31236,3924
71,0,894
72,10135,1781
73,34554,2622
74,14189,4044
75,10135,1513
76,0,3146
77,35571,5408
78,0,2084
79,12612,3355
80,12162,3252
81,2027,3346
82,4054,4772
83,0,4186
84,0,4450
85,16216,4698
86,45282,5583
87,16233,5930
88,0,2106
89,0,5908
90,4054,3184
91,0,2918
92,0,2635
93,4054,2639
94,4054,3072
95,0,3727
96,18442,4853
97,0,4393
98,0,4695
99,0,5135
100,0,4873
