Range Query No.,Compacted,Skipped
1,0,87
2,0,247
3,0,279
4,7552,194
5,0,229
6,0,491
7,8260,915
8,0,212
9,0,352
10,0,563
11,0,1007
12,0,284
13,0,1200
14,0,422
15,0,400
16,0,562
17,0,1861
18,12648,1692
19,0,1041
20,0,1125
21,0,1109
22,0,1042
23,0,1482
24,0,1630
25,14945,1770
26,16843,2317
27,16494,1914
28,0,544
29,0,855
30,0,894
31,0,1057
32,0,1659
33,0,1945
34,0,1625
35,0,1682
36,0,2035
37,0,2222
38,0,2079
39,0,1202
40,0,1787
41,0,1636
42,0,1855
43,0,2115
44,0,1365
45,0,1530
46,0,2303
47,0,1791
48,0,2191
49,0,2380
50,0,2254
51,0,1614
52,0,2036
53,0,2225
54,0,2123
55,0,1759
56,0,1334
57,0,1402
58,0,1524
59,0,2061
60,0,1853
61,0,2174
62,0,1252
63,0,2326
64,0,1254
65,0,1590
66,0,1914
67,0,1529
68,0,1464
69,0,2096
70,0,1571
71,0,1473
72,0,1548
73,0,2110
74,0,2193
75,0,2118
76,0,2186
77,0,1732
78,0,1543
79,0,1696
80,0,2762
81,0,1899
82,0,1858
83,0,2020
84,0,2029
85,0,1871
86,0,1887
87,0,1977
88,0,2162
89,0,2499
90,0,1899
91,0,2169
92,0,2492
93,0,2127
94,0,2056
95,0,2316
96,0,2539
97,0,2201
98,0,2388
99,0,1997
100,0,1965
