Range Query No.,Compacted,Skipped
1,9849,150
2,10304,347
3,0,345
4,12373,891
5,12829,1359
6,12739,403
7,13395,626
8,0,33
9,14301,715
10,15383,968
11,16314,856
12,16790,667
13,16655,320
14,16594,259
15,18347,542
16,18136,605
17,19648,737
18,21276,648
19,22200,616
20,22074,2022
21,0,207
22,23640,785
23,23552,2914
24,24043,646
25,24655,328
26,27609,1585
27,27418,735
28,28542,417
29,28911,1570
30,29883,847
31,30599,200
32,0,219
33,30904,1496
34,31581,180
35,33521,1117
36,35894,2483
37,36413,859
38,38348,1218
39,38342,1639
40,39369,3386
41,39295,574
42,39808,331
43,42392,1325
44,42966,606
45,42794,1366
46,44771,1169
47,45745,559
48,46225,688
49,46900,1019
50,47908,922
51,49350,908
52,49274,2614
53,49618,1495
54,0,59
55,0,489
56,0,640
57,51699,1387
58,53309,1650
59,55117,1965
60,55767,1329
61,0,473
62,57205,871
63,57641,645
64,58043,1461
65,58538,359
66,59582,1020
67,60106,764
68,60668,291
69,61960,1236
70,63049,534
71,65652,1149
72,66669,502
73,67005,4120
74,67713,734
75,71440,2469
76,71942,646
77,74614,1166
78,74585,4233
79,74984,522
80,76502,1109
81,78499,1474
82,80993,1348
83,82245,1039
84,82728,4237
85,83867,4505
86,84465,832
87,0,999
88,85936,832
89,87893,2740
90,88705,1612
91,89736,2369
92,91626,1167
93,0,113
94,0,375
95,93207,733
96,95831,1199
97,96682,4113
98,97632,1282
99,99143,745
100,99795,2099
