Range Query No.,Compacted,Skipped
1,0,138
2,0,185
3,0,353
4,0,162
5,0,509
6,0,383
7,0,849
8,0,248
9,0,272
10,0,901
11,0,349
12,9767,1610
13,0,1071
14,0,596
15,0,719
16,0,865
17,12575,1360
18,0,1265
19,0,787
20,0,625
21,0,889
22,0,1050
23,0,2389
24,0,948
25,0,1494
26,0,307
27,0,1782
28,17271,2121
29,0,47
30,0,42
31,0,9
32,0,211
33,15082,1400
34,0,164
35,0,539
36,21762,2540
37,0,507
38,0,1117
39,0,1478
40,0,427
41,0,1415
42,0,1767
43,0,401
44,0,368
45,0,2514
46,0,1576
47,0,1854
48,0,714
49,0,821
50,0,1302
51,0,1971
52,0,541
53,0,891
54,0,2385
55,0,1059
56,0,1295
57,0,1437
58,0,1059
59,0,843
60,0,2384
61,0,2555
62,0,1177
63,0,1910
64,0,905
65,0,1580
66,0,1791
67,0,2139
68,0,1224
69,0,2041
70,0,2128
71,0,1238
72,0,1901
73,0,1925
74,0,1030
75,0,1444
76,0,1356
77,0,1236
78,0,2100
79,0,1420
80,0,1323
81,0,1404
82,0,1762
83,0,1840
84,0,1645
85,0,1429
86,0,1622
87,0,1488
88,0,1931
89,0,1558
90,0,1837
91,0,1757
92,0,1914
93,0,2176
94,0,1878
95,0,1851
96,0,1650
97,0,1588
98,0,1810
99,0,1535
100,0,2186
