Range Query No.,Compacted,Skipped
1,0,132
2,0,175
3,0,460
4,0,652
5,7262,533
6,0,990
7,7569,626
8,2027,876
9,8937,1359
10,2658,742
11,2027,1015
12,8108,1086
13,3650,1138
14,0,1033
15,0,685
16,12304,1542
17,0,1385
18,13102,2156
19,0,1125
20,2027,962
21,0,1083
22,13260,2033
23,14506,2120
24,0,395
25,0,683
26,0,1364
27,0,2152
28,4054,1773
29,0,621
30,0,762
31,0,752
32,4054,1720
33,0,2202
34,0,1785
35,4054,2024
36,0,2075
37,0,2301
38,2027,2793
39,0,2634
40,0,1573
41,0,3799
42,17316,2790
43,20838,2762
44,2027,1939
45,0,2095
46,14352,2290
47,26006,1371
48,0,2179
49,25827,3198
50,0,599
51,0,931
52,0,1867
53,0,465
54,8677,538
55,0,1023
56,4054,1425
57,4054,1635
58,0,1089
59,0,1656
60,22748,1622
61,0,224
62,0,2932
63,9039,2635
64,0,2241
65,0,3715
66,34719,3734
67,0,936
68,0,2708
69,0,1275
70,0,1505
71,31835,4462
72,8108,2244
73,0,2179
74,25531,1975
75,2027,1438
76,0,2046
77,14189,2581
78,32853,3771
79,32432,2149
80,0,1689
81,11446,1254
82,43922,4467
83,14189,3887
84,51168,3408
85,0,2328
86,4054,2456
87,14189,2781
88,6081,2010
89,44594,2925
90,0,2098
91,10135,2756
92,36514,4612
93,0,2193
94,0,3258
95,0,3516
96,0,2227
97,0,4604
98,0,4920
99,0,2948
100,14189,5319
