Range Query No.,Compacted,Skipped
1,19525,474
2,20837,241
3,21447,967
4,24791,1106
5,25690,624
6,0,214
7,26798,404
8,26774,715
9,28519,1255
10,30771,772
11,32648,1162
12,33613,565
13,0,350
14,0,409
15,36722,1411
16,0,448
17,39356,1896
18,42574,1303
19,44377,1223
20,0,254
21,0,430
22,47311,3069
23,47139,516
24,0,607
25,49370,797
26,55238,3208
27,54866,1087
28,0,923
29,0,1703
30,59777,2672
31,0,84
32,0,470
33,61780,1034
34,0,147
35,67073,2355
36,71741,2909
37,72870,2822
38,76725,2271
39,76717,251
40,78749,1046
41,0,249
42,79622,747
43,84763,2496
44,85916,544
45,0,299
46,89533,2430
47,91485,1122
48,0,583
49,93781,2450
50,95815,1217
51,98678,1705
52,0,165
53,0,926
54,99182,1045
55,101398,864
56,102613,336
57,103410,708
58,106625,1370
59,110276,2436
60,0,279
61,0,1210
62,114398,1990
63,0,652
64,116156,2712
65,117042,797
66,0,915
67,120212,1444
68,121385,468
69,123939,2065
70,125991,997
71,131295,2371
72,0,1007
73,134007,1882
74,135449,520
75,142940,4671
76,0,573
77,149270,3159
78,149190,270
79,0,721
80,153085,3743
81,157004,2536
82,162040,2651
83,164851,1777
84,164014,865
85,167770,844
86,0,348
87,170539,3862
88,171881,510
89,175790,2234
90,177457,1751
91,179466,1051
92,183255,2334
93,0,245
94,185556,726
95,186355,756
96,191663,2341
97,0,1323
98,195230,2548
99,198350,1481
100,0,179
