Range Query No.,Compacted,Skipped
1,14637,351
2,15619,302
3,16058,762
4,18573,1060
5,0,455
6,0,689
7,20100,740
8,20060,1262
9,0,943
10,23082,1425
11,24453,859
12,25182,437
13,0,263
14,0,296
15,0,1063
16,0,1389
17,29507,2444
18,31920,1005
19,33304,901
20,0,193
21,34108,314
22,35434,4395
23,35348,688
24,0,429
25,37001,593
26,41409,2593
27,41106,1438
28,0,702
29,43312,1863
30,44820,802
31,45904,57
32,45587,930
33,0,442
34,47373,575
35,50301,1663
36,53805,2225
37,54652,4163
38,57539,1723
39,57512,888
40,0,744
41,58927,887
42,59741,578
43,63574,2221
44,64458,1052
45,0,205
46,67119,1919
47,68614,1089
48,69348,595
49,70341,2565
50,71861,899
51,74005,1468
52,73872,436
53,0,537
54,74412,839
55,76039,834
56,76931,323
57,77569,622
58,79970,1013
59,82714,1844
60,0,202
61,84111,872
62,85785,608
63,0,499
64,87107,4139
65,87754,1020
66,0,833
67,90147,1233
68,91020,441
69,92926,1887
70,94471,749
71,98472,1826
72,100020,812
73,0,678
74,101579,2592
75,107192,3815
76,0,433
77,111934,3577
78,111883,993
79,0,541
80,114810,3199
81,117768,2508
82,121515,1984
83,123614,1302
84,124120,650
85,0,620
86,126712,861
87,127924,5267
88,128908,801
89,131844,1709
90,133075,1929
91,134586,784
92,137426,1733
93,0,176
94,139180,537
95,0,539
96,143749,2263
97,0,975
98,146451,1892
99,148755,1111
100,0,128
