Range Query No.,Compacted,Skipped
1,6096,139
2,6506,69
3,6722,290
4,7750,371
5,8016,743
6,7987,343
7,8364,531
8,8370,267
9,8908,480
10,9618,799
11,10210,715
12,10507,919
13,10399,780
14,11473,616
15,11358,720
16,12305,613
17,13306,1012
18,13893,921
19,13791,467
20,14210,73
21,14486,211
22,14785,783
23,14739,1920
24,15025,358
25,15433,363
26,17257,1057
27,17160,1940
28,17860,1434
29,18046,555
30,18662,390
31,19122,27
32,18959,688
33,19320,1071
34,19748,131
35,20970,672
36,22441,2877
37,22778,1383
38,23984,1383
39,23984,1121
40,24614,2419
41,24557,1808
42,24894,505
43,26489,1168
44,26863,1037
45,26775,1543
46,27999,856
47,28600,606
48,28864,1307
49,29322,417
50,29941,502
51,30841,1619
52,30785,1746
53,31036,399
54,30980,2674
55,31703,648
56,32064,346
57,32336,773
58,33314,887
59,34461,854
60,34852,1440
61,35018,377
62,35758,1438
63,36030,1972
64,36285,999
65,36574,990
66,37261,693
67,37580,1705
68,37929,706
69,38709,920
70,39335,852
71,41041,1816
72,41666,1373
73,41888,663
74,42320,1712
75,44680,1849
76,44989,1861
77,46645,808
78,46631,2366
79,46885,1071
80,47844,602
81,49074,836
82,50644,2046
83,51497,3415
84,51716,322
85,52429,1807
86,52805,462
87,53293,460
88,53699,2191
89,54936,718
90,55445,1950
91,56104,770
92,57252,5434
93,57643,1400
94,57994,1096
95,58250,395
96,59909,2604
97,60456,1400
98,61469,813
99,61381,923
100,61983,518
