Range Query No.,Compacted,Skipped
1,0,48
2,0,333
3,0,1207
4,6870,1153
5,2624,1070
6,0,1213
7,8620,2097
8,0,1928
9,2027,2325
10,11189,2689
11,6081,3159
12,4054,3016
13,11657,2670
14,0,2711
15,0,2738
16,0,2145
17,0,1406
18,0,2814
19,0,2723
20,0,2753
21,0,850
22,0,3031
23,0,1692
24,0,2392
25,0,2292
26,0,2882
27,0,2684
28,0,3748
29,0,3656
30,0,1248
31,0,2595
32,0,3894
33,0,3367
34,0,3688
35,17437,4038
36,9425,4807
37,0,1988
38,0,4247
39,0,4534
40,20007,3591
41,4054,2655
42,0,1517
43,0,1720
44,6081,2292
45,0,2126
46,0,2489
47,0,8606
48,14517,3539
49,25628,3524
50,0,215
51,20270,11242
52,24324,1574
53,0,227
54,2027,11052
55,25908,9739
56,0,10383
57,7106,2169
58,6081,11292
59,0,2556
60,0,2771
61,32822,2899
62,4054,4177
63,8870,12155
64,0,1928
65,0,3028
66,12162,5727
67,35008,5782
68,22297,12361
69,13780,4814
70,38580,4163
71,2027,878
72,2027,1419
73,0,5886
74,0,8962
75,8108,5017
76,29748,12414
77,2027,5734
78,0,4439
79,0,9223
80,13309,6599
81,0,3086
82,0,7102
83,22201,3797
84,16216,8855
85,46228,8107
86,41012,10548
87,51335,11000
88,8108,3043
89,0,1240
90,23438,1595
91,0,159
92,12162,5623
93,2027,6210
94,0,2152
95,0,2146
96,16216,7329
97,0,8595
98,42505,5261
99,0,9423
100,12162,5946
