Range Query No.,Compacted,Skipped
1,308,142
2,5052,215
3,0,392
4,0,538
5,0,958
6,0,978
7,7041,1063
8,7650,631
9,0,843
10,0,1058
11,7925,1025
12,9647,783
13,0,1700
14,10046,1212
15,0,371
16,0,441
17,10945,1028
18,0,1118
19,0,918
20,13012,1427
21,0,133
22,14182,2553
23,4171,1268
24,0,881
25,3657,913
26,15713,2123
27,2027,1204
28,0,597
29,0,1601
30,0,1981
31,16447,2202
32,0,1414
33,0,1182
34,0,1732
35,2102,1444
36,0,2069
37,19010,3451
38,6081,2069
39,21786,2268
40,22849,2049
41,6081,2197
42,0,1878
43,0,1057
44,0,1487
45,0,2256
46,23067,3529
47,0,2683
48,6081,626
49,8108,2552
50,0,2924
51,0,1672
52,8108,3483
53,8108,2844
54,0,2338
55,2027,2460
56,8108,2005
57,0,3253
58,28857,3661
59,11726,3323
60,31226,3621
61,10135,1903
62,4054,1165
63,0,1615
64,33894,5387
65,0,1645
66,0,1745
67,0,1315
68,8108,2565
69,11480,2586
70,2263,2391
71,35477,4175
72,2027,1134
73,24645,4170
74,2027,3026
75,0,3699
76,12162,3771
77,18243,5195
78,42391,4496
79,0,3372
80,43371,4994
81,6081,1899
82,6081,4185
83,16216,3750
84,2027,3147
85,0,3344
86,46910,5849
87,10135,3490
88,0,3526
89,0,3457
90,16216,5023
91,0,4072
92,0,3145
93,4832,3338
94,0,4285
95,0,4831
96,52702,6401
97,4054,481
98,12162,3227
99,2027,3520
100,0,3661
