Range Query No.,Compacted,Skipped
1,0,346
2,0,445
3,13705,1045
4,0,945
5,4054,1439
6,0,1460
7,14293,1602
8,0,501
9,2027,1415
10,9320,2412
11,21180,2395
12,2027,437
13,0,661
14,23754,2711
15,4054,993
16,0,1516
17,0,2334
18,0,3250
19,28983,3570
20,4054,177
21,0,637
22,6081,1061
23,0,1060
24,0,1514
25,0,1675
26,0,3648
27,0,3918
28,0,4114
29,38245,4787
30,6081,1407
31,0,1332
32,8108,1757
33,0,2008
34,2027,2551
35,0,3602
36,0,4566
37,0,5624
38,0,5578
39,0,5585
40,0,6086
41,0,6198
42,50340,8441
43,40540,5596
44,0,816
45,0,1247
46,0,2859
47,56292,4046
48,65008,1473
49,0,198
50,0,977
51,0,2180
52,0,2388
53,0,2933
54,0,3009
55,0,3607
56,12727,3816
57,16216,4696
58,20649,4953
59,0,6091
60,26351,7567
61,81698,7290
62,14189,4405
63,0,3195
64,0,5192
65,0,5648
66,0,4179
67,10135,3282
68,10135,6937
69,22297,7757
70,6081,6318
71,0,9825
72,24324,7968
73,88190,10908
74,4054,320
75,4054,3559
76,6081,3822
77,2027,5275
78,32432,10289
79,2027,5796
80,2027,6925
81,30405,8488
82,8108,8980
83,0,12241
84,0,12947
85,11481,10878
86,0,10244
87,0,11353
88,12162,13710
89,12162,12891
90,0,13604
91,0,14350
92,120062,15720
93,0,4500
94,4054,1276
95,14189,1485
96,22297,2759
97,0,3397
98,32691,9812
99,0,4486
100,0,5524
