Range Query No.,Compacted,Skipped
1,0,143
2,0,72
3,0,419
4,0,412
5,0,212
6,0,489
7,0,327
8,0,341
9,0,550
10,0,412
11,0,1090
12,0,455
13,0,1336
14,0,770
15,0,1916
16,0,1378
17,0,1753
18,0,2241
19,0,1917
20,0,1244
21,0,1900
22,0,1473
23,0,2254
24,0,2199
25,0,2309
26,0,1215
27,0,1448
28,0,1074
29,0,2780
30,0,2214
31,0,2450
32,0,1547
33,0,1670
34,0,1710
35,0,935
36,0,1596
37,0,2054
38,0,2358
39,0,1410
40,0,1624
41,0,2548
42,0,903
43,0,1636
44,0,1029
45,0,2552
46,0,1506
47,0,2342
48,0,1753
49,0,1174
50,0,2943
51,0,1799
52,0,1852
53,0,1905
54,0,1271
55,0,972
56,0,1053
57,0,1587
58,0,1488
59,0,1264
60,0,2001
61,0,1630
62,0,1214
63,0,1334
64,0,2545
65,0,2654
66,0,2466
67,0,2394
68,0,2413
69,0,1821
70,0,2032
71,0,1774
72,0,1906
73,0,2300
74,0,2017
75,0,1867
76,0,1587
77,0,1462
78,0,1851
79,0,2755
80,0,1688
81,0,2016
82,0,1859
83,0,1220
84,0,1467
85,0,1940
86,0,2299
87,0,2773
88,0,1694
89,0,1607
90,0,1895
91,0,2493
92,0,2022
93,0,2232
94,0,2032
95,0,1901
96,0,2840
97,0,1855
98,0,2020
99,0,2060
100,0,1975
